word,unified_rank,moe_level,ngsl_rank
particular,890.4000000000001,1,1113
fine,891.2,1,1114
hour,894.4000000000001,1,1118
gas,895.2,1,1119
six,896.8000000000001,1,1121
bush,897.6,1,1122
advice,899.2,1,1124
career,900.0,1,1125
military,900.8000000000001,1,1126
decision,902.4000000000001,1,1128
leave,903.2,1,1129
british,904.0,1,1130
huge,906.4000000000001,1,1133
woman,908.0,1,1135
facilities,908.8000000000001,1,1136
bid,910.4000000000001,1,1138
kind,911.2,1,1139
middle,912.8000000000001,1,1141
move,913.6,1,1142
cable,914.4000000000001,1,1143
division,917.6,1,1147
coming,918.4000000000001,1,1148
tuesday,919.2,1,1149
object,920.0,1,1150
appropriate,921.6,1,1152
machine,922.4000000000001,1,1153
length,924.0,1,1155
actually,924.8000000000001,1,1156
nice,925.6,1,1157
score,926.4000000000001,1,1158
client,928.0,1,1160
capital,930.4000000000001,1,1163
follow,931.2,1,1164
sample,932.0,1,1165
investment,932.8000000000001,1,1166
christmas,936.0,1,1170
england,936.8000000000001,1,1171
culture,937.6,1,1172
band,938.4000000000001,1,1173
flash,939.2,1,1174
ms,940.0,1,1175
lead,940.8000000000001,1,1176
george,941.6,1,1177
choice,942.4000000000001,1,1178
fri,945.6,1,1182
thursday,946.4000000000001,1,1183
courses,947.2,1,1184
consumer,948.0,1,1185
hi,948.8000000000001,1,1186
airport,949.6,1,1187
foreign,950.4000000000001,1,1188
artist,951.2,1,1189
outside,952.0,1,1190
furniture,952.8000000000001,1,1191
channel,954.4000000000001,1,1193
letter,955.2,1,1194
structure,959.2,1,1199
fund,960.0,1,1200
summer,960.8000000000001,1,1201
allow,961.6,1,1202
degree,962.4000000000001,1,1203
contract,963.2,1,1204
button,964.0,1,1205
male,968.0,1,1210
matter,968.8000000000001,1,1211
custom,969.6,1,1212
almost,971.2,1,1214
asian,974.4000000000001,1,1218
distribution,975.2,1,1219
editor,976.0,1,1220
industrial,977.6,1,1222
cause,978.4000000000001,1,1223
potential,979.2,1,1224
song,980.0,1,1225
cnet,980.8000000000001,1,1226
focus,984.0,1,1230
late,984.8000000000001,1,1231
fall,985.6,1,1232
featured,986.4000000000001,1,1233
idea,987.2,1,1234
female,988.8000000000001,1,1236
responsible,989.6,1,1237
communications,991.2,1,1239
win,992.0,1,1240
associated,992.8000000000001,1,1241
primary,994.4000000000001,1,1243
cancer,995.2,1,1244
reason,996.8000000000001,1,1246
tool,997.6,1,1247
browser,998.4000000000001,1,1248
spring,999.2,1,1249
foundation,1000.0,1,1250
answer,1000.8000000000001,1,1251
voice,1001.6,1,1252
friendly,1003.2,1,1254
schedule,1004.0,1,1255
documents,1004.8000000000001,1,1256
communication,1005.6,1,1257
purpose,1006.4000000000001,1,1258
feature,1007.2,1,1259
bed,1008.0,1,1260
comes,1008.8000000000001,1,1261
police,1009.6,1,1262
everyone,1010.4000000000001,1,1263
independent,1011.2,1,1264
approach,1012.8000000000001,1,1266
cameras,1013.6,1,1267
brown,1014.4000000000001,1,1268
physical,1015.2,1,1269
hill,1016.8000000000001,1,1271
medicine,1018.4000000000001,1,1273
deal,1019.2,1,1274
hold,1020.0,1,1275
chicago,1021.6,1,1277
forms,1022.4000000000001,1,1278
glass,1023.2,1,1279
happy,1024.0,1,1280
developed,1027.2,1,1284
thank,1028.0,1,1285
safe,1028.8,1,1286
unique,1029.6000000000001,1,1287
survey,1030.4,1,1288
prior,1031.2,1,1289
telephone,1032.0,1,1290
sport,1032.8,1,1291
ready,1033.6000000000001,1,1292
feed,1034.4,1,1293
animal,1035.2,1,1294
population,1037.6000000000001,1,1297
regular,1039.2,1,1299
secure,1040.0,1,1300
therefore,1042.4,1,1303
ass,1043.2,1,1304
simply,1044.0,1,1305
evidence,1044.8,1,1306
station,1045.6000000000001,1,1307
christian,1046.4,1,1308
round,1047.2,1,1309
favorite,1048.8,1,1311
understand,1049.6000000000001,1,1312
option,1050.4,1,1313
master,1051.2,1,1314
valley,1052.0,1,1315
recently,1052.8,1,1316
probably,1053.6000000000001,1,1317
sea,1056.0,1,1320
built,1056.8,1,1321
blood,1058.4,1,1323
cut,1059.2,1,1324
improve,1060.8,1,1326
connection,1061.6000000000001,1,1327
hall,1063.2,1,1329
anti,1064.8,1,1331
earth,1066.4,1,1333
impact,1068.8,1,1336
transfer,1069.6000000000001,1,1337
introduction,1070.4,1,1338
kitchen,1071.2,1,1339
strong,1072.0,1,1340
carolina,1073.6000000000001,1,1342
wedding,1074.4,1,1343
hospital,1076.0,1,1345
ground,1076.8,1,1346
ship,1078.4,1,1348
accommodation,1079.2,1,1349
